step,x,y,segment_length,cumulative_length
1,31,34,0.0,0.0
2,31,33,1.0,1.0
3,31,32,1.0,2.0
4,31,31,1.0,3.0
5,32,31,1.0,4.0
6,32,30,1.0,5.0
7,33,30,1.0,6.0
8,33,29,1.0,7.0
9,33,28,1.0,8.0
10,33,27,1.0,9.0
11,33,26,1.0,10.0
12,32,26,1.0,11.0
13,32,25,1.0,12.0
14,32,24,1.0,13.0
15,33,24,1.0,14.0
16,33,23,1.0,15.0
17,33,22,1.0,16.0
18,32,22,1.0,17.0
19,32,21,1.0,18.0
20,32,20,1.0,19.0
21,33,20,1.0,20.0
22,33,19,1.0,21.0
23,33,18,1.0,22.0
24,33,17,1.0,23.0
25,32,17,1.0,24.0
26,32,16,1.0,25.0
27,33,16,1.0,26.0
28,33,15,1.0,27.0
29,33,14,1.0,28.0
30,33,13,1.0,29.0
31,32,13,1.0,30.0
32,32,12,1.0,31.0
33,31,12,1.0,32.0
34,30,12,1.0,33.0
35,30,13,1.0,34.0
36,29,13,1.0,35.0
37,29,12,1.0,36.0
38,29,11,1.0,37.0
39,30,11,1.0,38.0
40,31,11,1.0,39.0
41,31,13,2.0,41.0
42,31,14,1.0,42.0
43,31,15,1.0,43.0
44,32,15,1.0,44.0
45,32,14,1.0,45.0
46,34,14,2.0,47.0
47,34,15,1.0,48.0
48,34,16,1.0,49.0
49,35,16,1.0,50.0
50,35,17,1.0,51.0
51,36,17,1.0,52.0
52,36,18,1.0,53.0
53,36,19,1.0,54.0
54,37,19,1.0,55.0
55,37,20,1.0,56.0
56,37,21,1.0,57.0
57,38,21,1.0,58.0
58,38,22,1.0,59.0
59,38,23,1.0,60.0
60,39,23,1.0,61.0
61,39,24,1.0,62.0
62,39,25,1.0,63.0
63,40,25,1.0,64.0
64,40,26,1.0,65.0
65,40,27,1.0,66.0
66,39,27,1.0,67.0
67,39,28,1.0,68.0
68,39,29,1.0,69.0
69,38,29,1.0,70.0
70,37,29,1.0,71.0
71,37,30,1.0,72.0
72,38,30,1.0,73.0
73,38,31,1.0,74.0
74,38,32,1.0,75.0
75,37,32,1.0,76.0
76,36,32,1.0,77.0
77,36,33,1.0,78.0
78,36,34,1.0,79.0
79,37,34,1.0,80.0
80,37,33,1.0,81.0
81,38,34,1.4142135623730951,82.41421356237309
82,39,34,1.0,83.41421356237309
83,39,31,3.0,86.41421356237309
84,37,31,2.0,88.41421356237309
85,36,31,1.0,89.41421356237309
86,35,31,1.0,90.41421356237309
87,35,30,1.0,91.41421356237309
88,34,30,1.0,92.41421356237309
