step,x,y,segment_length,cumulative_length
1,25,37,21.213203435596427,21.213203435596427
2,24,37,1.0,22.213203435596427
3,23,37,1.0,23.213203435596427
4,22,37,1.0,24.213203435596427
5,21,37,1.0,25.213203435596427
6,20,37,1.0,26.213203435596427
7,20,36,1.0,27.213203435596427
8,20,35,1.0,28.213203435596427
9,19,35,1.0,29.213203435596427
10,19,34,1.0,30.213203435596427
11,19,33,1.0,31.213203435596427
12,19,32,1.0,32.21320343559643
13,20,32,1.0,33.21320343559643
14,20,31,1.0,34.21320343559643
15,21,31,1.0,35.21320343559643
16,21,32,1.0,36.21320343559643
17,21,33,1.0,37.21320343559643
18,20,33,1.0,38.21320343559643
19,20,34,1.0,39.21320343559643
20,21,34,1.0,40.21320343559643
21,22,34,1.0,41.21320343559643
22,22,35,1.0,42.21320343559643
23,21,35,1.0,43.21320343559643
24,21,36,1.0,44.21320343559643
25,22,36,1.0,45.21320343559643
26,23,36,1.0,46.21320343559643
27,24,36,1.0,47.21320343559643
28,24,35,1.0,48.21320343559643
29,23,35,1.0,49.21320343559643
30,23,34,1.0,50.21320343559643
31,23,33,1.0,51.21320343559643
32,22,33,1.0,52.21320343559643
33,22,32,1.0,53.21320343559643
34,22,31,1.0,54.21320343559643
35,22,30,1.0,55.21320343559643
36,21,30,1.0,56.21320343559643
37,20,30,1.0,57.21320343559643
38,20,29,1.0,58.21320343559643
39,20,28,1.0,59.21320343559643
40,19,28,1.0,60.21320343559643
41,18,28,1.0,61.21320343559643
42,18,27,1.0,62.21320343559643
43,18,26,1.0,63.21320343559643
44,18,25,1.0,64.21320343559643
45,18,24,1.0,65.21320343559643
46,19,24,1.0,66.21320343559643
47,20,24,1.0,67.21320343559643
48,20,23,1.0,68.21320343559643
49,20,22,1.0,69.21320343559643
50,21,22,1.0,70.21320343559643
51,21,21,1.0,71.21320343559643
52,22,21,1.0,72.21320343559643
53,22,20,1.0,73.21320343559643
54,22,19,1.0,74.21320343559643
55,23,19,1.0,75.21320343559643
56,24,19,1.0,76.21320343559643
57,25,19,1.0,77.21320343559643
58,25,18,1.0,78.21320343559643
59,24,18,1.0,79.21320343559643
60,24,17,1.0,80.21320343559643
61,24,16,1.0,81.21320343559643
62,23,16,1.0,82.21320343559643
63,22,16,1.0,83.21320343559643
64,21,16,1.0,84.21320343559643
65,21,17,1.0,85.21320343559643
66,22,17,1.0,86.21320343559643
67,22,18,1.0,87.21320343559643
68,21,18,1.0,88.21320343559643
69,20,18,1.0,89.21320343559643
70,20,17,1.0,90.21320343559643
71,20,19,2.0,92.21320343559643
72,20,20,1.0,93.21320343559643
73,19,20,1.0,94.21320343559643
74,19,19,1.0,95.21320343559643
75,21,19,2.0,97.21320343559643
76,21,20,1.0,98.21320343559643
77,20,21,1.4142135623730951,99.62741699796952
78,19,21,1.0,100.62741699796952
79,19,22,1.0,101.62741699796952
80,19,23,1.0,102.62741699796952
81,18,23,1.0,103.62741699796952
82,19,25,2.23606797749979,105.8634849754693
83,20,25,1.0,106.8634849754693
84,20,26,1.0,107.8634849754693
85,19,26,1.0,108.8634849754693
86,19,27,1.0,109.8634849754693
87,20,27,1.0,110.8634849754693
88,21,27,1.0,111.8634849754693
89,21,26,1.0,112.8634849754693
90,22,26,1.0,113.8634849754693
91,22,25,1.0,114.8634849754693
92,21,25,1.0,115.8634849754693
93,21,24,1.0,116.8634849754693
94,21,23,1.0,117.8634849754693
95,22,23,1.0,118.8634849754693
96,23,23,1.0,119.8634849754693
97,23,22,1.0,120.8634849754693
98,23,21,1.0,121.8634849754693
99,23,20,1.0,122.8634849754693
100,24,20,1.0,123.8634849754693
101,24,21,1.0,124.8634849754693
102,24,22,1.0,125.8634849754693
103,22,22,2.0,127.8634849754693
104,22,24,2.0,129.8634849754693
105,23,24,1.0,130.8634849754693
106,22,27,3.1622776601683795,134.02576263563768
107,22,28,1.0,135.02576263563768
108,21,28,1.0,136.02576263563768
109,21,29,1.0,137.02576263563768
110,22,29,1.0,138.02576263563768
111,19,29,3.0,141.02576263563768
112,18,29,1.0,142.02576263563768
113,18,30,1.0,143.02576263563768
114,19,30,1.0,144.02576263563768
115,19,31,1.0,145.02576263563768
116,18,31,1.0,146.02576263563768
117,18,32,1.0,147.02576263563768
118,23,32,5.0,152.02576263563768
119,25,20,12.165525060596439,164.19128769623413
120,26,20,1.0,165.19128769623413
121,26,19,1.0,166.19128769623413
122,25,17,2.23606797749979,168.42735567373393
123,23,17,2.0,170.42735567373393
124,23,18,1.0,171.42735567373393
125,23,15,3.0,174.42735567373393
126,22,15,1.0,175.42735567373393
127,23,14,1.4142135623730951,176.84156923610703
128,24,14,1.0,177.84156923610703
129,25,14,1.0,178.84156923610703
130,26,14,1.0,179.84156923610703
131,26,13,1.0,180.84156923610703
132,27,13,1.0,181.84156923610703
133,27,12,1.0,182.84156923610703
134,28,12,1.0,183.84156923610703
135,29,12,1.0,184.84156923610703
136,29,13,1.0,185.84156923610703
137,30,13,1.0,186.84156923610703
138,30,12,1.0,187.84156923610703
139,30,11,1.0,188.84156923610703
140,31,11,1.0,189.84156923610703
141,32,11,1.0,190.84156923610703
142,32,12,1.0,191.84156923610703
143,31,12,1.0,192.84156923610703
144,31,13,1.0,193.84156923610703
145,32,13,1.0,194.84156923610703
146,32,14,1.0,195.84156923610703
147,31,14,1.0,196.84156923610703
148,31,15,1.0,197.84156923610703
149,30,15,1.0,198.84156923610703
150,29,15,1.0,199.84156923610703
151,29,14,1.0,200.84156923610703
152,28,14,1.0,201.84156923610703
153,27,14,1.0,202.84156923610703
154,27,15,1.0,203.84156923610703
155,26,15,1.0,204.84156923610703
156,26,16,1.0,205.84156923610703
157,27,16,1.0,206.84156923610703
158,28,16,1.0,207.84156923610703
159,28,15,1.0,208.84156923610703
160,29,16,1.4142135623730951,210.25578279848014
161,29,17,1.0,211.25578279848014
162,30,17,1.0,212.25578279848014
163,30,18,1.0,213.25578279848014
164,31,18,1.0,214.25578279848014
165,31,17,1.0,215.25578279848014
166,31,16,1.0,216.25578279848014
167,32,16,1.0,217.25578279848014
168,33,16,1.0,218.25578279848014
169,33,15,1.0,219.25578279848014
170,33,14,1.0,220.25578279848014
171,33,13,1.0,221.25578279848014
172,33,12,1.0,222.25578279848014
173,34,12,1.0,223.25578279848014
174,35,12,1.0,224.25578279848014
175,35,11,1.0,225.25578279848014
176,36,11,1.0,226.25578279848014
177,36,12,1.0,227.25578279848014
178,36,13,1.0,228.25578279848014
179,35,13,1.0,229.25578279848014
180,35,14,1.0,230.25578279848014
181,34,14,1.0,231.25578279848014
182,34,13,1.0,232.25578279848014
183,34,11,2.0,234.25578279848014
184,33,11,1.0,235.25578279848014
185,29,11,4.0,239.25578279848014
186,28,13,2.23606797749979,241.49185077597994
187,30,14,2.23606797749979,243.72791875347974
188,30,16,2.0,245.72791875347974
189,32,15,2.23606797749979,247.96398673097954
190,34,15,2.0,249.96398673097954
191,34,16,1.0,250.96398673097954
192,35,16,1.0,251.96398673097954
193,36,16,1.0,252.96398673097954
194,37,16,1.0,253.96398673097954
195,37,15,1.0,254.96398673097954
196,37,14,1.0,255.96398673097954
197,38,14,1.0,256.9639867309795
198,39,14,1.0,257.9639867309795
199,39,13,1.0,258.9639867309795
200,40,13,1.0,259.9639867309795
201,41,13,1.0,260.9639867309795
202,41,14,1.0,261.9639867309795
203,41,15,1.0,262.9639867309795
204,40,15,1.0,263.9639867309795
205,39,15,1.0,264.9639867309795
206,39,16,1.0,265.9639867309795
207,38,16,1.0,266.9639867309795
208,38,15,1.0,267.9639867309795
209,38,13,2.0,269.9639867309795
210,38,12,1.0,270.9639867309795
211,39,12,1.0,271.9639867309795
212,37,12,2.0,273.9639867309795
213,37,13,1.0,274.9639867309795
214,36,14,1.4142135623730951,276.3782002933526
215,36,15,1.0,277.3782002933526
216,35,15,1.0,278.3782002933526
217,35,17,2.0,280.3782002933526
218,35,18,1.0,281.3782002933526
219,36,18,1.0,282.3782002933526
220,36,17,1.0,283.3782002933526
221,37,17,1.0,284.3782002933526
222,38,17,1.0,285.3782002933526
223,39,17,1.0,286.3782002933526
224,39,18,1.0,287.3782002933526
225,38,18,1.0,288.3782002933526
226,37,18,1.0,289.3782002933526
227,38,19,1.4142135623730951,290.7924138557257
228,39,19,1.0,291.7924138557257
229,40,19,1.0,292.7924138557257
230,41,19,1.0,293.7924138557257
231,41,18,1.0,294.7924138557257
232,41,17,1.0,295.7924138557257
233,41,16,1.0,296.7924138557257
234,40,16,1.0,297.7924138557257
235,40,17,1.0,298.7924138557257
236,40,18,1.0,299.7924138557257
237,42,18,2.0,301.7924138557257
238,43,18,1.0,302.7924138557257
239,44,18,1.0,303.7924138557257
240,44,17,1.0,304.7924138557257
241,44,16,1.0,305.7924138557257
242,43,16,1.0,306.7924138557257
243,43,15,1.0,307.7924138557257
244,42,15,1.0,308.7924138557257
245,42,14,1.0,309.7924138557257
246,40,14,2.0,311.7924138557257
247,42,16,2.8284271247461903,314.62084098047194
248,42,17,1.0,315.62084098047194
249,43,17,1.0,316.62084098047194
250,45,17,2.0,318.62084098047194
251,45,18,1.0,319.62084098047194
252,45,19,1.0,320.62084098047194
253,44,19,1.0,321.62084098047194
254,44,20,1.0,322.62084098047194
255,43,20,1.0,323.62084098047194
256,43,21,1.0,324.62084098047194
257,44,21,1.0,325.62084098047194
258,45,21,1.0,326.62084098047194
259,45,20,1.0,327.62084098047194
260,46,20,1.0,328.62084098047194
261,46,19,1.0,329.62084098047194
262,43,19,3.0,332.62084098047194
263,42,19,1.0,333.62084098047194
264,42,20,1.0,334.62084098047194
265,41,20,1.0,335.62084098047194
266,40,20,1.0,336.62084098047194
267,41,21,1.4142135623730951,338.03505454284505
268,42,21,1.0,339.03505454284505
269,42,22,1.0,340.03505454284505
270,34,18,8.94427190999916,348.9793264528442
271,33,18,1.0,349.9793264528442
272,32,18,1.0,350.9793264528442
273,32,17,1.0,351.9793264528442
274,33,17,1.0,352.9793264528442
275,34,17,1.0,353.9793264528442
276,29,18,5.0990195135927845,359.078345966437
277,28,18,1.0,360.078345966437
278,27,18,1.0,361.078345966437
279,26,18,1.0,362.078345966437
280,26,17,1.0,363.078345966437
281,27,17,1.0,364.078345966437
282,28,17,1.0,365.078345966437
283,27,19,2.23606797749979,367.31441394393676
284,25,16,3.605551275463989,370.91996521940075
285,25,15,1.0,371.91996521940075
286,24,15,1.0,372.91996521940075
287,24,13,2.0,374.91996521940075
288,25,13,1.0,375.91996521940075
289,26,12,1.4142135623730951,377.33417878177386
290,32,27,16.15549442140351,393.48967320317735
291,32,28,1.0,394.48967320317735
292,33,28,1.0,395.48967320317735
293,34,28,1.0,396.48967320317735
294,35,28,1.0,397.48967320317735
295,35,27,1.0,398.48967320317735
296,36,27,1.0,399.48967320317735
297,36,28,1.0,400.48967320317735
298,36,29,1.0,401.48967320317735
299,35,29,1.0,402.48967320317735
300,35,30,1.0,403.48967320317735
301,34,30,1.0,404.48967320317735
302,33,30,1.0,405.48967320317735
303,32,30,1.0,406.48967320317735
304,32,29,1.0,407.48967320317735
305,33,29,1.0,408.48967320317735
306,34,29,1.0,409.48967320317735
307,34,27,2.0,411.48967320317735
308,33,27,1.0,412.48967320317735
309,33,31,4.0,416.48967320317735
310,32,31,1.0,417.48967320317735
311,32,32,1.0,418.48967320317735
312,32,33,1.0,419.48967320317735
313,33,33,1.0,420.48967320317735
314,33,32,1.0,421.48967320317735
315,34,32,1.0,422.48967320317735
316,35,32,1.0,423.48967320317735
317,35,33,1.0,424.48967320317735
318,36,33,1.0,425.48967320317735
319,37,33,1.0,426.48967320317735
320,37,32,1.0,427.48967320317735
321,38,32,1.0,428.48967320317735
322,39,32,1.0,429.48967320317735
323,39,33,1.0,430.48967320317735
324,39,34,1.0,431.48967320317735
325,39,35,1.0,432.48967320317735
326,40,35,1.0,433.48967320317735
327,40,34,1.0,434.48967320317735
328,40,33,1.0,435.48967320317735
329,41,33,1.0,436.48967320317735
330,41,32,1.0,437.48967320317735
331,42,32,1.0,438.48967320317735
332,43,32,1.0,439.48967320317735
333,43,31,1.0,440.48967320317735
334,43,30,1.0,441.48967320317735
335,44,30,1.0,442.48967320317735
336,44,29,1.0,443.48967320317735
337,44,28,1.0,444.48967320317735
338,45,28,1.0,445.48967320317735
339,45,27,1.0,446.48967320317735
340,44,27,1.0,447.48967320317735
341,43,27,1.0,448.48967320317735
342,43,28,1.0,449.48967320317735
343,43,29,1.0,450.48967320317735
344,45,29,2.0,452.48967320317735
345,45,30,1.0,453.48967320317735
346,46,30,1.0,454.48967320317735
347,46,29,1.0,455.48967320317735
348,47,29,1.0,456.48967320317735
349,47,28,1.0,457.48967320317735
350,47,27,1.0,458.48967320317735
351,46,27,1.0,459.48967320317735
352,46,26,1.0,460.48967320317735
353,47,26,1.0,461.48967320317735
354,47,25,1.0,462.48967320317735
355,47,24,1.0,463.48967320317735
356,46,24,1.0,464.48967320317735
357,46,23,1.0,465.48967320317735
358,45,23,1.0,466.48967320317735
359,44,23,1.0,467.48967320317735
360,43,23,1.0,468.48967320317735
361,43,22,1.0,469.48967320317735
362,44,22,1.0,470.48967320317735
363,45,22,1.0,471.48967320317735
364,46,22,1.0,472.48967320317735
365,47,22,1.0,473.48967320317735
366,47,23,1.0,474.48967320317735
367,46,21,2.23606797749979,476.7257411806771
368,45,24,3.1622776601683795,479.8880188408455
369,44,24,1.0,480.8880188408455
370,44,25,1.0,481.8880188408455
371,43,25,1.0,482.8880188408455
372,43,24,1.0,483.8880188408455
373,42,23,1.4142135623730951,485.3022324032186
