step,x,y,segment_length,cumulative_length
1,40,39,0.0,0.0
2,41,39,1.0,1.0
3,41,38,1.0,2.0
4,41,37,1.0,3.0
5,41,36,1.0,4.0
6,41,35,1.0,5.0
7,42,35,1.0,6.0
8,42,36,1.0,7.0
9,43,36,1.0,8.0
10,43,37,1.0,9.0
11,44,37,1.0,10.0
12,45,37,1.0,11.0
13,45,38,1.0,12.0
14,44,38,1.0,13.0
15,43,38,1.0,14.0
16,43,39,1.0,15.0
17,43,40,1.0,16.0
18,42,40,1.0,17.0
19,41,41,1.4142135623730951,18.414213562373096
20,40,41,1.0,19.414213562373096
21,40,42,1.0,20.414213562373096
22,41,42,1.0,21.414213562373096
23,42,42,1.0,22.414213562373096
24,42,43,1.0,23.414213562373096
25,42,44,1.0,24.414213562373096
26,41,44,1.0,25.414213562373096
27,40,44,1.0,26.414213562373096
28,39,43,1.4142135623730951,27.82842712474619
29,38,42,1.4142135623730951,29.242640687119287
30,39,41,1.4142135623730951,30.656854249492383
31,39,40,1.0,31.656854249492383
32,39,38,2.0,33.65685424949238
33,39,37,1.0,34.65685424949238
34,39,36,1.0,35.65685424949238
35,39,35,1.0,36.65685424949238
36,39,33,2.0,38.65685424949238
37,38,33,1.0,39.65685424949238
38,39,31,2.23606797749979,41.89292222699217
39,39,30,1.0,42.89292222699217
40,40,30,1.0,43.89292222699217
41,41,31,1.4142135623730951,45.30713578936526
42,42,31,1.0,46.30713578936526
43,43,31,1.0,47.30713578936526
44,44,31,1.0,48.30713578936526
45,44,30,1.0,49.30713578936526
46,45,30,1.0,50.30713578936526
47,45,31,1.0,51.30713578936526
48,46,31,1.0,52.30713578936526
49,47,32,1.4142135623730951,53.721349351738354
50,48,32,1.0,54.721349351738354
51,48,33,1.0,55.721349351738354
52,50,33,2.0,57.721349351738354
53,51,33,1.0,58.721349351738354
54,52,33,1.0,59.721349351738354
55,52,34,1.0,60.721349351738354
56,51,34,1.0,61.721349351738354
57,51,35,1.0,62.721349351738354
58,50,36,1.4142135623730951,64.13556291411145
59,49,36,1.0,65.13556291411145
60,48,36,1.0,66.13556291411145
61,47,36,1.0,67.13556291411145
62,48,38,2.23606797749979,69.37163089161123
63,48,39,1.0,70.37163089161123
64,48,40,1.0,71.37163089161123
65,47,40,1.0,72.37163089161123
66,47,41,1.0,73.37163089161123
67,47,42,1.0,74.37163089161123
68,48,42,1.0,75.37163089161123
69,48,43,1.0,76.37163089161123
70,46,43,2.0,78.37163089161123
71,45,42,1.4142135623730951,79.78584445398432
72,45,41,1.0,80.78584445398432
73,46,41,1.0,81.78584445398432
74,46,40,1.0,82.78584445398432
75,47,39,1.4142135623730951,84.20005801635742
76,46,38,1.4142135623730951,85.61427157873051
77,45,39,1.4142135623730951,87.0284851411036
78,44,39,1.0,88.0284851411036
79,42,38,2.23606797749979,90.26455311860339
80,38,38,4.0,94.26455311860339
81,38,37,1.0,95.26455311860339
82,41,34,4.242640687119285,99.50719380572268
83,41,33,1.0,100.50719380572268
84,42,33,1.0,101.50719380572268
85,42,32,1.0,102.50719380572268
86,44,33,2.23606797749979,104.74326178322247
87,44,34,1.0,105.74326178322247
88,45,35,1.4142135623730951,107.15747534559556
89,49,35,4.0,111.15747534559556
90,49,37,2.0,113.15747534559556
91,50,37,1.0,114.15747534559556
92,49,38,1.4142135623730951,115.57168890796865
