step,x,y,segment_length,cumulative_length
1,64,43,0.0,0.0
2,63,43,1.0,1.0
3,63,42,1.0,2.0
4,64,42,1.0,3.0
5,63,41,1.4142135623730951,4.414213562373095
6,62,41,1.0,5.414213562373095
7,62,42,1.0,6.414213562373095
8,62,43,1.0,7.414213562373095
9,62,44,1.0,8.414213562373096
10,61,44,1.0,9.414213562373096
11,60,45,1.4142135623730951,10.828427124746192
12,58,45,2.0,12.828427124746192
13,57,45,1.0,13.828427124746192
14,57,44,1.0,14.828427124746192
15,57,43,1.0,15.828427124746192
16,57,42,1.0,16.82842712474619
17,56,42,1.0,17.82842712474619
18,56,41,1.0,18.82842712474619
19,56,39,2.0,20.82842712474619
20,56,38,1.0,21.82842712474619
21,55,38,1.0,22.82842712474619
22,55,39,1.0,23.82842712474619
23,54,40,1.4142135623730951,25.242640687119287
24,54,41,1.0,26.242640687119287
25,54,42,1.0,27.242640687119287
26,53,42,1.0,28.242640687119287
27,53,41,1.0,29.242640687119287
28,52,41,1.0,30.242640687119287
29,52,40,1.0,31.242640687119287
30,51,40,1.0,32.24264068711929
31,51,39,1.0,33.24264068711929
32,50,39,1.0,34.24264068711929
33,50,38,1.0,35.24264068711929
34,50,37,1.0,36.24264068711929
35,51,37,1.0,37.24264068711929
36,52,37,1.0,38.24264068711929
37,53,37,1.0,39.24264068711929
38,53,38,1.0,40.24264068711929
39,54,38,1.0,41.24264068711929
40,54,37,1.0,42.24264068711929
41,54,36,1.0,43.24264068711929
42,55,36,1.0,44.24264068711929
43,55,35,1.0,45.24264068711929
44,54,34,1.4142135623730951,46.65685424949238
45,53,34,1.0,47.65685424949238
46,53,33,1.0,48.65685424949238
47,52,33,1.0,49.65685424949238
48,52,32,1.0,50.65685424949238
49,53,32,1.0,51.65685424949238
50,54,33,1.4142135623730951,53.071067811865476
51,55,33,1.0,54.071067811865476
52,53,35,2.8284271247461903,56.89949493661167
53,52,35,1.0,57.89949493661167
54,52,34,1.0,58.89949493661167
55,51,34,1.0,59.89949493661167
56,50,34,1.0,60.89949493661167
57,49,34,1.0,61.89949493661167
58,48,34,1.0,62.89949493661167
59,48,35,1.0,63.89949493661167
60,49,35,1.0,64.89949493661166
61,50,35,1.0,65.89949493661166
62,50,36,1.0,66.89949493661166
63,51,36,1.0,67.89949493661166
64,51,38,2.0,69.89949493661166
65,52,39,1.4142135623730951,71.31370849898475
66,53,39,1.0,72.31370849898475
67,53,40,1.0,73.31370849898475
68,51,41,2.23606797749979,75.54977647648454
69,50,41,1.0,76.54977647648454
70,49,41,1.0,77.54977647648454
71,49,40,1.0,78.54977647648454
72,48,40,1.0,79.54977647648454
73,47,40,1.0,80.54977647648454
74,47,41,1.0,81.54977647648454
75,48,42,1.4142135623730951,82.96399003885763
76,48,43,1.0,83.96399003885763
77,49,42,1.4142135623730951,85.37820360123072
78,50,42,1.0,86.37820360123072
79,50,43,1.0,87.37820360123072
80,51,43,1.0,88.37820360123072
81,52,43,1.0,89.37820360123072
82,52,45,2.0,91.37820360123072
83,52,46,1.0,92.37820360123072
84,53,46,1.0,93.37820360123072
85,54,46,1.0,94.37820360123072
86,55,46,1.0,95.37820360123072
87,55,47,1.0,96.37820360123072
88,56,47,1.0,97.37820360123072
89,56,48,1.0,98.37820360123072
90,57,48,1.0,99.37820360123072
91,57,49,1.0,100.37820360123072
92,57,50,1.0,101.37820360123072
93,56,50,1.0,102.37820360123072
94,56,52,2.0,104.37820360123072
95,57,52,1.0,105.37820360123072
96,58,52,1.0,106.37820360123072
97,58,51,1.0,107.37820360123072
98,59,50,1.4142135623730951,108.79241716360382
99,60,49,1.4142135623730951,110.20663072597691
100,60,48,1.0,111.20663072597691
101,61,48,1.0,112.20663072597691
102,61,47,1.0,113.20663072597691
103,62,47,1.0,114.20663072597691
104,63,47,1.0,115.20663072597691
105,63,46,1.0,116.20663072597691
106,63,45,1.0,117.20663072597691
107,64,45,1.0,118.20663072597691
108,65,45,1.0,119.20663072597691
109,65,44,1.0,120.20663072597691
110,66,44,1.0,121.20663072597691
111,67,44,1.0,122.20663072597691
112,66,45,1.4142135623730951,123.62084428835
113,66,46,1.0,124.62084428835
114,66,47,1.0,125.62084428835
115,66,48,1.0,126.62084428835
116,67,48,1.0,127.62084428835
117,67,49,1.0,128.62084428834999
118,68,49,1.0,129.62084428834999
119,68,50,1.0,130.62084428834999
120,69,50,1.0,131.62084428834999
121,69,51,1.0,132.62084428834999
122,68,53,2.23606797749979,134.8569122658498
123,67,53,1.0,135.8569122658498
124,67,54,1.0,136.8569122658498
125,67,55,1.0,137.8569122658498
126,66,55,1.0,138.8569122658498
127,66,56,1.0,139.8569122658498
128,65,56,1.0,140.8569122658498
129,65,55,1.0,141.8569122658498
130,65,54,1.0,142.8569122658498
131,65,53,1.0,143.8569122658498
132,65,52,1.0,144.8569122658498
133,66,52,1.0,145.8569122658498
134,67,52,1.0,146.8569122658498
135,66,50,2.23606797749979,149.0929802433496
136,65,50,1.0,150.0929802433496
137,64,50,1.0,151.0929802433496
138,64,49,1.0,152.0929802433496
139,64,48,1.0,153.0929802433496
140,63,49,1.4142135623730951,154.5071938057227
141,62,49,1.0,155.5071938057227
142,62,50,1.0,156.5071938057227
143,61,50,1.0,157.5071938057227
144,61,51,1.0,158.5071938057227
145,61,52,1.0,159.5071938057227
146,62,52,1.0,160.5071938057227
147,63,52,1.0,161.5071938057227
148,64,52,1.0,162.5071938057227
149,65,51,1.4142135623730951,163.9214073680958
150,62,51,3.0,166.9214073680958
151,62,53,2.0,168.9214073680958
152,62,54,1.0,169.9214073680958
153,62,55,1.0,170.9214073680958
154,63,56,1.4142135623730951,172.3356209304689
155,64,56,1.0,173.3356209304689
156,64,57,1.0,174.3356209304689
157,65,57,1.0,175.3356209304689
158,65,58,1.0,176.3356209304689
159,66,58,1.0,177.3356209304689
160,64,59,2.23606797749979,179.5716889079687
161,63,60,1.4142135623730951,180.9859024703418
162,62,60,1.0,181.9859024703418
163,62,59,1.0,182.9859024703418
164,62,58,1.0,183.9859024703418
165,62,57,1.0,184.9859024703418
166,61,56,1.4142135623730951,186.40011603271492
167,61,54,2.0,188.40011603271492
168,59,54,2.0,190.40011603271492
169,58,54,1.0,191.40011603271492
170,57,54,1.0,192.40011603271492
171,57,53,1.0,193.40011603271492
172,58,53,1.0,194.40011603271492
173,59,52,1.4142135623730951,195.81432959508803
174,60,51,1.4142135623730951,197.22854315746113
175,61,49,2.23606797749979,199.46461113496093
176,60,47,2.23606797749979,201.70067911246073
177,58,46,2.23606797749979,203.93674708996053
178,57,46,1.0,204.93674708996053
179,56,46,1.0,205.93674708996053
180,55,45,1.4142135623730951,207.35096065233364
181,54,45,1.0,208.35096065233364
182,54,44,1.0,209.35096065233364
183,55,44,1.0,210.35096065233364
184,55,43,1.0,211.35096065233364
185,54,43,1.0,212.35096065233364
186,53,45,2.23606797749979,214.58702862983344
187,53,47,2.0,216.58702862983344
188,54,47,1.0,217.58702862983344
189,57,47,3.0,220.58702862983344
190,58,44,3.1622776601683795,223.7493062900018
191,59,43,1.4142135623730951,225.16351985237492
192,59,42,1.0,226.16351985237492
193,59,41,1.0,227.16351985237492
194,60,41,1.0,228.16351985237492
195,59,40,1.4142135623730951,229.57773341474802
196,59,39,1.0,230.57773341474802
197,60,39,1.0,231.57773341474802
198,60,38,1.0,232.57773341474802
