step,x,y,segment_length,cumulative_length
1,55,51,35.510561809129406,35.510561809129406
2,55,52,1.0,36.510561809129406
3,55,53,1.0,37.510561809129406
4,55,54,1.0,38.510561809129406
5,54,54,1.0,39.510561809129406
6,54,55,1.0,40.510561809129406
7,55,55,1.0,41.510561809129406
8,55,56,1.0,42.510561809129406
9,55,57,1.0,43.510561809129406
10,56,57,1.0,44.510561809129406
11,56,56,1.0,45.510561809129406
12,56,55,1.0,46.510561809129406
13,54,56,2.23606797749979,48.7466297866292
14,53,56,1.0,49.7466297866292
15,53,57,1.0,50.7466297866292
16,54,57,1.0,51.7466297866292
17,54,58,1.0,52.7466297866292
18,54,59,1.0,53.7466297866292
19,54,60,1.0,54.7466297866292
20,55,60,1.0,55.7466297866292
21,55,61,1.0,56.7466297866292
22,56,61,1.0,57.7466297866292
23,56,62,1.0,58.7466297866292
24,57,62,1.0,59.7466297866292
25,57,63,1.0,60.7466297866292
26,57,64,1.0,61.7466297866292
27,56,64,1.0,62.7466297866292
28,56,65,1.0,63.7466297866292
29,55,65,1.0,64.7466297866292
30,55,66,1.0,65.7466297866292
31,56,66,1.0,66.7466297866292
32,55,67,1.4142135623730951,68.16084334900229
33,54,67,1.0,69.16084334900229
34,53,67,1.0,70.16084334900229
35,53,66,1.0,71.16084334900229
36,53,65,1.0,72.16084334900229
37,54,65,1.0,73.16084334900229
38,54,64,1.0,74.16084334900229
39,54,63,1.0,75.16084334900229
40,55,63,1.0,76.16084334900229
41,55,64,1.0,77.16084334900229
42,56,63,1.4142135623730951,78.57505691137538
43,55,62,1.4142135623730951,79.98927047374848
44,54,62,1.0,80.98927047374848
45,53,62,1.0,81.98927047374848
46,53,61,1.0,82.98927047374848
47,54,61,1.0,83.98927047374848
48,53,60,1.4142135623730951,85.40348403612157
49,52,60,1.0,86.40348403612157
50,52,59,1.0,87.40348403612157
51,51,59,1.0,88.40348403612157
52,51,58,1.0,89.40348403612157
53,50,58,1.0,90.40348403612157
54,50,57,1.0,91.40348403612157
55,50,56,1.0,92.40348403612157
56,51,56,1.0,93.40348403612157
57,51,57,1.0,94.40348403612157
58,52,57,1.0,95.40348403612157
59,52,58,1.0,96.40348403612157
60,53,58,1.0,97.40348403612157
61,53,59,1.0,98.40348403612157
62,55,59,2.0,100.40348403612157
63,55,58,1.0,101.40348403612157
64,56,58,1.0,102.40348403612157
65,56,59,1.0,103.40348403612157
66,56,60,1.0,104.40348403612157
67,52,61,4.123105625617661,108.52658966173922
68,51,61,1.0,109.52658966173922
69,50,61,1.0,110.52658966173922
70,50,62,1.0,111.52658966173922
71,51,62,1.0,112.52658966173922
72,51,63,1.0,113.52658966173922
73,51,64,1.0,114.52658966173922
74,52,64,1.0,115.52658966173922
75,52,63,1.0,116.52658966173922
76,52,62,1.0,117.52658966173922
77,53,63,1.4142135623730951,118.94080322411232
78,53,64,1.0,119.94080322411232
79,52,65,1.4142135623730951,121.35501678648541
80,51,65,1.0,122.35501678648541
81,51,66,1.0,123.35501678648541
82,51,67,1.0,124.35501678648541
83,51,68,1.0,125.35501678648541
84,52,68,1.0,126.35501678648541
85,52,69,1.0,127.35501678648541
86,51,69,1.0,128.3550167864854
87,51,70,1.0,129.3550167864854
88,50,70,1.0,130.3550167864854
89,50,71,1.0,131.3550167864854
90,49,71,1.0,132.3550167864854
91,48,71,1.0,133.3550167864854
92,47,71,1.0,134.3550167864854
93,47,70,1.0,135.3550167864854
94,47,69,1.0,136.3550167864854
95,46,69,1.0,137.3550167864854
96,46,68,1.0,138.3550167864854
97,47,68,1.0,139.3550167864854
98,47,67,1.0,140.3550167864854
99,47,66,1.0,141.3550167864854
100,47,65,1.0,142.3550167864854
101,47,64,1.0,143.3550167864854
102,46,64,1.0,144.3550167864854
103,46,63,1.0,145.3550167864854
104,47,63,1.0,146.3550167864854
105,47,62,1.0,147.3550167864854
106,47,61,1.0,148.3550167864854
107,47,60,1.0,149.3550167864854
108,46,60,1.0,150.3550167864854
109,46,59,1.0,151.3550167864854
110,46,58,1.0,152.3550167864854
111,47,58,1.0,153.3550167864854
112,47,57,1.0,154.3550167864854
113,47,56,1.0,155.3550167864854
114,47,55,1.0,156.3550167864854
115,46,55,1.0,157.3550167864854
116,46,54,1.0,158.3550167864854
117,47,54,1.0,159.3550167864854
118,47,53,1.0,160.3550167864854
119,47,52,1.0,161.3550167864854
120,47,51,1.0,162.3550167864854
121,47,50,1.0,163.3550167864854
122,46,50,1.0,164.3550167864854
123,46,49,1.0,165.3550167864854
124,47,49,1.0,166.3550167864854
125,47,48,1.0,167.3550167864854
126,47,47,1.0,168.3550167864854
127,47,46,1.0,169.3550167864854
128,46,46,1.0,170.3550167864854
129,46,45,1.0,171.3550167864854
130,46,44,1.0,172.3550167864854
131,47,44,1.0,173.3550167864854
132,47,43,1.0,174.3550167864854
133,47,42,1.0,175.3550167864854
134,47,41,1.0,176.3550167864854
135,46,41,1.0,177.3550167864854
136,46,40,1.0,178.3550167864854
137,46,39,1.0,179.3550167864854
138,45,39,1.0,180.3550167864854
139,45,38,1.0,181.3550167864854
140,44,38,1.0,182.3550167864854
141,44,37,1.0,183.3550167864854
142,44,36,1.0,184.3550167864854
143,43,36,1.0,185.3550167864854
144,43,35,1.0,186.3550167864854
145,43,34,1.0,187.3550167864854
146,42,34,1.0,188.3550167864854
147,42,33,1.0,189.3550167864854
148,41,33,1.0,190.3550167864854
149,41,32,1.0,191.3550167864854
150,41,31,1.0,192.3550167864854
151,40,31,1.0,193.3550167864854
152,40,30,1.0,194.3550167864854
153,40,29,1.0,195.3550167864854
154,39,29,1.0,196.3550167864854
155,39,28,1.0,197.3550167864854
156,39,27,1.0,198.3550167864854
157,40,27,1.0,199.3550167864854
158,40,26,1.0,200.3550167864854
159,41,26,1.0,201.3550167864854
160,41,27,1.0,202.3550167864854
161,41,28,1.0,203.3550167864854
162,42,28,1.0,204.3550167864854
163,42,29,1.0,205.3550167864854
164,43,29,1.0,206.3550167864854
165,44,29,1.0,207.3550167864854
166,44,28,1.0,208.3550167864854
167,44,27,1.0,209.3550167864854
168,44,26,1.0,210.3550167864854
169,43,26,1.0,211.3550167864854
170,43,27,1.0,212.3550167864854
171,43,28,1.0,213.3550167864854
172,42,27,1.4142135623730951,214.7692303488585
173,42,26,1.0,215.7692303488585
174,40,28,2.8284271247461903,218.5976574736047
175,41,29,1.4142135623730951,220.0118710359778
176,41,30,1.0,221.0118710359778
