step,x,y,segment_length,cumulative_length
1,24,27,8.06225774829855,8.06225774829855
2,23,27,1.0,9.06225774829855
3,23,28,1.0,10.06225774829855
4,22,28,1.0,11.06225774829855
5,21,28,1.0,12.06225774829855
6,20,28,1.0,13.06225774829855
7,20,29,1.0,14.06225774829855
8,19,29,1.0,15.06225774829855
9,19,28,1.0,16.06225774829855
10,19,27,1.0,17.06225774829855
11,19,26,1.0,18.06225774829855
12,20,26,1.0,19.06225774829855
13,21,26,1.0,20.06225774829855
14,21,25,1.0,21.06225774829855
15,20,25,1.0,22.06225774829855
16,20,24,1.0,23.06225774829855
17,19,24,1.0,24.06225774829855
18,19,25,1.0,25.06225774829855
19,20,27,2.23606797749979,27.29832572579834
20,21,27,1.0,28.29832572579834
21,22,27,1.0,29.29832572579834
22,22,26,1.0,30.29832572579834
23,23,26,1.0,31.29832572579834
24,23,25,1.0,32.298325725798335
25,22,25,1.0,33.298325725798335
26,22,24,1.0,34.298325725798335
27,21,24,1.0,35.298325725798335
28,23,24,2.0,37.298325725798335
29,23,23,1.0,38.298325725798335
30,22,23,1.0,39.298325725798335
31,21,23,1.0,40.298325725798335
32,20,23,1.0,41.298325725798335
33,19,23,1.0,42.298325725798335
34,19,22,1.0,43.298325725798335
35,19,21,1.0,44.298325725798335
36,19,20,1.0,45.298325725798335
37,20,20,1.0,46.298325725798335
38,20,21,1.0,47.298325725798335
39,21,21,1.0,48.298325725798335
40,21,22,1.0,49.298325725798335
41,20,22,1.0,50.298325725798335
42,22,22,2.0,52.298325725798335
43,23,22,1.0,53.298325725798335
44,23,21,1.0,54.298325725798335
45,22,21,1.0,55.298325725798335
46,22,20,1.0,56.298325725798335
47,21,20,1.0,57.298325725798335
48,21,19,1.0,58.298325725798335
49,20,19,1.0,59.298325725798335
50,20,18,1.0,60.298325725798335
51,19,18,1.0,61.298325725798335
52,19,19,1.0,62.298325725798335
53,22,19,3.0,65.29832572579834
54,23,19,1.0,66.29832572579834
55,24,19,1.0,67.29832572579834
56,24,20,1.0,68.29832572579834
57,23,20,1.0,69.29832572579834
58,23,18,2.0,71.29832572579834
59,24,18,1.0,72.29832572579834
60,24,17,1.0,73.29832572579834
61,24,16,1.0,74.29832572579834
62,23,16,1.0,75.29832572579834
63,23,17,1.0,76.29832572579834
64,22,17,1.0,77.29832572579834
65,21,17,1.0,78.29832572579834
66,21,16,1.0,79.29832572579834
67,20,16,1.0,80.29832572579834
68,20,17,1.0,81.29832572579834
69,19,17,1.0,82.29832572579834
70,19,16,1.0,83.29832572579834
71,19,15,1.0,84.29832572579834
72,19,14,1.0,85.29832572579834
73,20,14,1.0,86.29832572579834
74,21,14,1.0,87.29832572579834
75,22,14,1.0,88.29832572579834
76,23,14,1.0,89.29832572579834
77,24,14,1.0,90.29832572579834
78,25,14,1.0,91.29832572579834
79,25,15,1.0,92.29832572579834
80,24,15,1.0,93.29832572579834
81,23,15,1.0,94.29832572579834
82,22,15,1.0,95.29832572579834
83,21,15,1.0,96.29832572579834
84,20,15,1.0,97.29832572579834
85,22,16,2.23606797749979,99.53439370329812
86,22,18,2.0,101.53439370329812
87,21,18,1.0,102.53439370329812
88,24,28,10.44030650891055,112.97470021220867
89,25,28,1.0,113.97470021220867
90,25,29,1.0,114.97470021220867
91,25,30,1.0,115.97470021220867
92,24,30,1.0,116.97470021220867
93,24,31,1.0,117.97470021220867
94,23,31,1.0,118.97470021220867
95,22,31,1.0,119.97470021220867
96,21,31,1.0,120.97470021220867
97,20,31,1.0,121.97470021220867
98,20,32,1.0,122.97470021220867
99,21,32,1.0,123.97470021220867
100,22,32,1.0,124.97470021220867
101,22,33,1.0,125.97470021220867
102,23,33,1.0,126.97470021220867
103,23,34,1.0,127.97470021220867
104,22,34,1.0,128.9747002122087
105,21,33,1.4142135623730951,130.3889137745818
106,23,32,2.23606797749979,132.6249817520816
107,24,32,1.0,133.6249817520816
108,25,31,1.4142135623730951,135.0391953144547
109,24,29,2.23606797749979,137.2752632919545
110,23,29,1.0,138.2752632919545
111,22,29,1.0,139.2752632919545
112,21,29,1.0,140.2752632919545
113,21,30,1.0,141.2752632919545
114,20,30,1.0,142.2752632919545
115,22,30,2.0,144.2752632919545
116,23,30,1.0,145.2752632919545
117,25,32,2.8284271247461903,148.1036904167007
118,25,33,1.0,149.1036904167007
119,24,33,1.0,150.1036904167007
120,24,34,1.0,151.1036904167007
121,24,35,1.0,152.1036904167007
122,25,35,1.0,153.1036904167007
123,25,34,1.0,154.1036904167007
124,26,34,1.0,155.1036904167007
125,26,33,1.0,156.1036904167007
126,27,33,1.0,157.1036904167007
127,28,33,1.0,158.1036904167007
128,28,32,1.0,159.1036904167007
129,27,32,1.0,160.1036904167007
130,26,32,1.0,161.1036904167007
131,26,31,1.0,162.1036904167007
132,27,34,3.1622776601683795,165.26596807686906
133,27,35,1.0,166.26596807686906
134,28,35,1.0,167.26596807686906
135,29,35,1.0,168.26596807686906
136,29,34,1.0,169.26596807686906
137,29,33,1.0,170.26596807686906
138,28,34,1.4142135623730951,171.68018163924216
139,26,35,2.23606797749979,173.91624961674196
140,23,35,3.0,176.91624961674196
