step,x,y,segment_length,cumulative_length
1,40,51,16.0,16.0
2,40,50,1.0,17.0
3,40,49,1.0,18.0
4,41,49,1.0,19.0
5,42,49,1.0,20.0
6,43,49,1.0,21.0
7,44,49,1.0,22.0
8,44,48,1.0,23.0
9,44,47,1.0,24.0
10,43,47,1.0,25.0
11,43,48,1.0,26.0
12,42,48,1.0,27.0
13,42,47,1.0,28.0
14,42,46,1.0,29.0
15,43,46,1.0,30.0
16,43,45,1.0,31.0
17,44,45,1.0,32.0
18,44,44,1.0,33.0
19,43,44,1.0,34.0
20,43,43,1.0,35.0
21,43,42,1.0,36.0
22,44,42,1.0,37.0
23,44,41,1.0,38.0
24,44,40,1.0,39.0
25,43,40,1.0,40.0
26,43,41,1.0,41.0
27,42,41,1.0,42.0
28,42,40,1.0,43.0
29,41,40,1.0,44.0
30,41,39,1.0,45.0
31,42,39,1.0,46.0
32,43,39,1.0,47.0
33,43,38,1.0,48.0
34,44,38,1.0,49.0
35,44,37,1.0,50.0
36,44,36,1.0,51.0
37,44,35,1.0,52.0
38,43,35,1.0,53.0
39,43,36,1.0,54.0
40,43,37,1.0,55.0
41,42,37,1.0,56.0
42,41,37,1.0,57.0
43,40,37,1.0,58.0
44,40,36,1.0,59.0
45,40,35,1.0,60.0
46,40,34,1.0,61.0
47,40,33,1.0,62.0
48,41,33,1.0,63.0
49,41,32,1.0,64.0
50,41,31,1.0,65.0
51,41,30,1.0,66.0
52,40,30,1.0,67.0
53,40,31,1.0,68.0
54,40,32,1.0,69.0
55,39,32,1.0,70.0
56,39,31,1.0,71.0
57,39,30,1.0,72.0
58,38,30,1.0,73.0
59,38,31,1.0,74.0
60,38,32,1.0,75.0
61,38,33,1.0,76.0
62,39,33,1.0,77.0
63,39,34,1.0,78.0
64,39,35,1.0,79.0
65,39,36,1.0,80.0
66,39,37,1.0,81.0
67,39,38,1.0,82.0
68,40,38,1.0,83.0
69,41,38,1.0,84.0
70,42,38,1.0,85.0
71,42,36,2.0,87.0
72,42,35,1.0,88.0
73,41,35,1.0,89.0
74,41,34,1.0,90.0
75,42,34,1.0,91.0
76,43,34,1.0,92.0
77,43,33,1.0,93.0
78,44,33,1.0,94.0
79,44,32,1.0,95.0
80,44,31,1.0,96.0
81,44,30,1.0,97.0
82,45,30,1.0,98.0
83,46,30,1.0,99.0
84,47,30,1.0,100.0
85,48,30,1.0,101.0
86,48,31,1.0,102.0
87,47,31,1.0,103.0
88,47,32,1.0,104.0
89,48,32,1.0,105.0
90,48,33,1.0,106.0
91,47,33,1.0,107.0
92,47,34,1.0,108.0
93,48,34,1.0,109.0
94,48,35,1.0,110.0
95,48,36,1.0,111.0
96,47,36,1.0,112.0
97,47,35,1.0,113.0
98,46,35,1.0,114.0
99,46,34,1.0,115.0
100,46,33,1.0,116.0
101,46,32,1.0,117.0
102,45,32,1.0,118.0
103,45,31,1.0,119.0
104,46,31,1.0,120.0
105,45,33,2.23606797749979,122.23606797749979
106,45,34,1.0,123.23606797749979
107,44,34,1.0,124.23606797749979
108,45,35,1.4142135623730951,125.65028153987288
109,45,36,1.0,126.65028153987288
110,45,37,1.0,127.65028153987288
111,46,37,1.0,128.65028153987288
112,47,37,1.0,129.65028153987288
113,48,37,1.0,130.65028153987288
114,48,38,1.0,131.65028153987288
115,47,38,1.0,132.65028153987288
116,47,39,1.0,133.65028153987288
117,48,39,1.0,134.65028153987288
118,48,40,1.0,135.65028153987288
119,47,40,1.0,136.65028153987288
120,47,41,1.0,137.65028153987288
121,47,42,1.0,138.65028153987288
122,48,42,1.0,139.65028153987288
123,49,42,1.0,140.65028153987288
124,49,41,1.0,141.65028153987288
125,50,41,1.0,142.65028153987288
126,51,41,1.0,143.65028153987288
127,51,40,1.0,144.65028153987288
128,52,40,1.0,145.65028153987288
129,52,39,1.0,146.65028153987288
130,51,39,1.0,147.65028153987288
131,51,38,1.0,148.65028153987288
132,51,37,1.0,149.65028153987288
133,52,37,1.0,150.65028153987288
134,52,36,1.0,151.65028153987288
135,52,35,1.0,152.65028153987288
136,51,35,1.0,153.65028153987288
137,51,34,1.0,154.65028153987288
138,51,33,1.0,155.65028153987288
139,52,33,1.0,156.65028153987288
140,52,32,1.0,157.65028153987288
141,53,32,1.0,158.65028153987288
142,54,32,1.0,159.65028153987288
143,55,32,1.0,160.65028153987288
144,56,32,1.0,161.65028153987288
145,56,31,1.0,162.65028153987288
146,56,30,1.0,163.65028153987288
147,55,30,1.0,164.65028153987288
148,55,31,1.0,165.65028153987288
149,54,31,1.0,166.65028153987288
150,54,30,1.0,167.65028153987288
151,53,30,1.0,168.65028153987288
152,52,30,1.0,169.65028153987288
153,51,30,1.0,170.65028153987288
154,51,31,1.0,171.65028153987288
155,51,32,1.0,172.65028153987288
156,50,32,1.0,173.65028153987288
157,50,31,1.0,174.65028153987288
158,50,30,1.0,175.65028153987288
159,49,30,1.0,176.65028153987288
160,49,31,1.0,177.65028153987288
161,49,32,1.0,178.65028153987288
162,49,33,1.0,179.65028153987288
163,50,33,1.0,180.65028153987288
164,50,34,1.0,181.65028153987288
165,49,34,1.0,182.65028153987288
166,49,35,1.0,183.65028153987288
167,50,35,1.0,184.65028153987288
168,50,36,1.0,185.65028153987288
169,51,36,1.0,186.65028153987288
170,50,37,1.4142135623730951,188.06449510224598
171,50,38,1.0,189.06449510224598
172,50,39,1.0,190.06449510224598
173,49,39,1.0,191.06449510224598
174,49,38,1.0,192.06449510224598
175,49,37,1.0,193.06449510224598
176,49,36,1.0,194.06449510224598
177,46,36,3.0,197.06449510224598
178,46,38,2.0,199.06449510224598
179,45,38,1.0,200.06449510224598
180,45,39,1.0,201.06449510224598
181,46,39,1.0,202.06449510224598
182,46,40,1.0,203.06449510224598
183,46,41,1.0,204.06449510224598
184,45,41,1.0,205.06449510224598
185,45,40,1.0,206.06449510224598
186,44,39,1.4142135623730951,207.4787086646191
187,45,42,3.1622776601683795,210.64098632478746
188,46,42,1.0,211.64098632478746
189,46,43,1.0,212.64098632478746
190,47,43,1.0,213.64098632478746
191,47,44,1.0,214.64098632478746
192,48,44,1.0,215.64098632478746
193,48,45,1.0,216.64098632478746
194,47,45,1.0,217.64098632478746
195,47,46,1.0,218.64098632478746
196,48,46,1.0,219.64098632478746
197,48,47,1.0,220.64098632478746
198,47,47,1.0,221.64098632478746
199,47,48,1.0,222.64098632478746
200,47,49,1.0,223.64098632478746
201,48,49,1.0,224.64098632478746
202,48,48,1.0,225.64098632478746
203,46,48,2.0,227.64098632478746
204,46,47,1.0,228.64098632478746
205,46,46,1.0,229.64098632478746
206,46,45,1.0,230.64098632478746
207,46,44,1.0,231.64098632478746
208,45,44,1.0,232.64098632478746
209,45,43,1.0,233.64098632478746
210,44,43,1.0,234.64098632478746
211,42,43,2.0,236.64098632478746
212,42,44,1.0,237.64098632478746
213,41,44,1.0,238.64098632478746
214,40,44,1.0,239.64098632478746
215,40,43,1.0,240.64098632478746
216,40,42,1.0,241.64098632478746
217,40,41,1.0,242.64098632478746
218,40,40,1.0,243.64098632478746
219,39,40,1.0,244.64098632478746
220,39,39,1.0,245.64098632478746
221,38,39,1.0,246.64098632478746
222,38,38,1.0,247.64098632478746
223,38,37,1.0,248.64098632478746
224,38,36,1.0,249.64098632478746
225,38,35,1.0,250.64098632478746
226,38,34,1.0,251.64098632478746
227,41,36,3.605551275463989,255.24653760025146
228,42,33,3.1622776601683795,258.40881526041983
229,42,32,1.0,259.40881526041983
230,43,32,1.0,260.40881526041983
231,43,31,1.0,261.40881526041983
232,43,30,1.0,262.40881526041983
233,42,30,1.0,263.40881526041983
234,42,31,1.0,264.40881526041983
235,40,39,8.246211251235321,272.65502651165514
236,39,41,2.23606797749979,274.8910944891549
237,39,42,1.0,275.8910944891549
238,39,43,1.0,276.8910944891549
239,39,44,1.0,277.8910944891549
240,39,45,1.0,278.8910944891549
241,40,45,1.0,279.8910944891549
242,41,45,1.0,280.8910944891549
243,42,45,1.0,281.8910944891549
244,41,46,1.4142135623730951,283.305308051528
245,40,46,1.0,284.305308051528
246,40,47,1.0,285.305308051528
247,39,47,1.0,286.305308051528
248,39,48,1.0,287.305308051528
249,39,49,1.0,288.305308051528
250,39,50,1.0,289.305308051528
251,39,51,1.0,290.305308051528
252,38,51,1.0,291.305308051528
253,38,50,1.0,292.305308051528
254,38,49,1.0,293.305308051528
255,38,48,1.0,294.305308051528
256,38,47,1.0,295.305308051528
257,38,46,1.0,296.305308051528
258,39,46,1.0,297.305308051528
259,38,45,1.4142135623730951,298.7195216139011
260,38,44,1.0,299.7195216139011
261,38,43,1.0,300.7195216139011
262,38,42,1.0,301.7195216139011
263,38,41,1.0,302.7195216139011
264,38,40,1.0,303.7195216139011
265,41,41,3.1622776601683795,306.8817992740695
266,41,42,1.0,307.8817992740695
267,42,42,1.0,308.8817992740695
268,41,43,1.4142135623730951,310.2960128364426
269,41,47,4.0,314.2960128364426
270,41,48,1.0,315.2960128364426
271,40,48,1.0,316.2960128364426
272,41,50,2.23606797749979,318.5320808139424
273,41,51,1.0,319.5320808139424
274,42,51,1.0,320.5320808139424
275,42,50,1.0,321.5320808139424
276,43,50,1.0,322.5320808139424
277,44,50,1.0,323.5320808139424
278,45,50,1.0,324.5320808139424
279,46,50,1.0,325.5320808139424
280,47,50,1.0,326.5320808139424
281,48,50,1.0,327.5320808139424
282,46,49,2.23606797749979,329.7681487914422
283,45,49,1.0,330.7681487914422
284,45,48,1.0,331.7681487914422
285,45,47,1.0,332.7681487914422
286,45,46,1.0,333.7681487914422
287,45,45,1.0,334.7681487914422
288,44,46,1.4142135623730951,336.1823623538153
289,48,43,5.0,341.1823623538153
290,49,43,1.0,342.1823623538153
291,50,43,1.0,343.1823623538153
292,51,43,1.0,344.1823623538153
293,51,42,1.0,345.1823623538153
294,52,42,1.0,346.1823623538153
295,52,41,1.0,347.1823623538153
296,53,41,1.0,348.1823623538153
297,54,41,1.0,349.1823623538153
298,55,41,1.0,350.1823623538153
299,55,40,1.0,351.1823623538153
300,55,39,1.0,352.1823623538153
301,56,39,1.0,353.1823623538153
302,56,38,1.0,354.1823623538153
303,56,37,1.0,355.1823623538153
304,55,37,1.0,356.1823623538153
305,55,36,1.0,357.1823623538153
306,55,35,1.0,358.1823623538153
307,55,34,1.0,359.1823623538153
308,55,33,1.0,360.1823623538153
309,54,33,1.0,361.1823623538153
310,54,34,1.0,362.1823623538153
311,53,34,1.0,363.1823623538153
312,53,33,1.0,364.1823623538153
313,52,34,1.4142135623730951,365.5965759161884
314,53,35,1.4142135623730951,367.0107894785615
315,54,35,1.0,368.0107894785615
316,54,36,1.0,369.0107894785615
317,54,37,1.0,370.0107894785615
318,54,38,1.0,371.0107894785615
319,55,38,1.0,372.0107894785615
320,54,39,1.4142135623730951,373.4250030409346
321,54,40,1.0,374.4250030409346
322,53,40,1.0,375.4250030409346
323,53,39,1.0,376.4250030409346
324,53,38,1.0,377.4250030409346
325,53,37,1.0,378.4250030409346
326,53,36,1.0,379.4250030409346
327,52,38,2.23606797749979,381.66107101843437
328,50,40,2.8284271247461903,384.4894981431806
329,49,40,1.0,385.4894981431806
330,48,41,1.4142135623730951,386.9037117055537
