Timestamp,Color_1_Center_1_X,Color_1_Center_1_Y,Color_1_Center_2_X,Color_1_Center_2_Y,Color_2_Center_1_X,Color_2_Center_1_Y,Color_2_Center_2_X,Color_2_Center_2_Y
1738240920.7532475,700,554,944,555,241,296,917,152
1738240920.864325,702,554,943,552,243,272,248,664
1738240921.0134826,701,552,943,552,238,277,224,732
1738240921.2053647,703,555,945,555,242,296,239,672
1738240921.2866938,704,556,946,555,242,264,223,712
1738240921.3607893,705,554,945,555,244,408,922,142
1738240921.5204694,704,555,944,556,238,288,231,712
1738240921.6145303,705,558,944,559,240,264,234,672
1738240921.6670265,705,559,947,559,242,296,235,672
1738240921.8728504,708,558,950,559,242,408,214,928
1738240921.96445,708,557,951,557,240,448,224,944
1738240922.0124469,707,557,951,559,244,400,924,120
1738240922.0634103,708,556,952,557,242,406,925,128
1738240922.1388447,708,557,949,559,243,264,235,679
1738240922.1889849,704,558,944,558,242,344,222,744
1738240922.265218,705,562,944,561,233,408,922,120
1738240922.3452098,707,565,947,564,238,309,228,664
1738240922.4270725,707,565,951,567,240,430,920,112
1738240922.4821312,714,569,952,568,245,437,922,127
1738240922.5502386,712,579,952,579,245,352,233,744
1738240922.584723,708,584,950,585,245,420,922,175
1738240922.6300771,715,597,955,598,251,300,238,632
1738240922.687547,715,610,954,609,256,304,238,752
1738240922.7336462,710,624,951,622,246,361,253,672
1738240922.7788632,708,624,949,623,247,323,922,152
1738240922.8376276,713,635,953,633,254,310,922,192
1738240922.894997,708,648,948,648,272,286,258,464
1738240922.940609,703,648,943,648,260,248,244,496
1738240922.9894533,705,652,944,653,252,240,248,464
1738240923.0576127,705,672,944,669,288,296,921,241
1738240923.2422488,698,686,941,686,276,257,224,656
1738240923.2908235,699,692,944,691,276,291,232,664
1738240923.325528,701,709,942,708,292,310,920,304
1738240923.3683538,696,715,940,714,292,280,264,544
1738240923.449027,703,714,942,712,293,280,276,680
1738240923.4998596,708,513,949,527,268,200,246,488
1738240923.5576863,711,516,950,530,272,208,244,696
1738240923.6500552,709,520,948,535,267,208,234,480
1738240923.708836,715,521,955,535,271,200,250,680
1738240923.759617,719,527,958,540,282,216,302,504
1738240923.8152742,715,532,953,546,280,208,240,496
1738240923.8632607,717,532,959,543,279,208,236,696
1738240923.9146144,724,538,960,549,288,232,266,499
1738240924.0034182,720,543,958,556,288,215,970,128
1738240924.049146,723,542,960,554,285,232,257,496
1738240924.1801703,725,541,964,555,286,272,244,696
1738240924.253738,727,545,966,557,291,216,268,512
1738240924.2891893,731,544,968,559,300,208,268,504
1738240924.358028,729,545,966,558,292,276,978,153
1738240924.421753,725,545,960,557,296,296,969,136
1738240924.491756,726,545,960,559,280,304,973,150
1738240924.5678368,722,543,959,558,284,280,969,168
1738240924.839699,719,545,958,560,274,296,969,172
1738240924.9771729,716,546,954,561,281,288,966,196
1738240925.116712,714,545,955,558,284,216,250,504
1738240925.4485335,713,544,952,556,279,224,248,496
1738240925.5165484,712,545,952,560,274,295,982,64
1738240925.6168587,711,546,831,623,278,248,250,496
1738240925.687599,714,545,953,559,282,223,258,504
1738240925.7551544,717,546,956,559,282,208,257,512
1738240925.816038,719,550,956,565,282,280,980,160
1738240925.8570862,718,548,954,562,288,224,259,496
1738240925.9725401,717,549,956,565,284,224,268,504
1738240926.1117456,715,548,954,564,293,232,260,512
1738240926.216858,713,547,951,561,280,240,260,504
1738240926.3077087,713,546,952,560,292,282,968,136
1738240926.379423,695,556,997,579,322,128,961,224
1738240926.4818728,695,557,932,575,304,73,957,260
1738240926.5459995,696,557,932,575,328,88,332,157
1738240926.6115825,696,555,930,575,961,248,320,104
1738240926.7188623,693,556,988,578,321,82,945,264
1738240926.8799558,691,557,928,575,318,157,949,252
1738240926.9169579,696,557,929,574,321,104,947,264
1738240926.952356,699,556,934,577,324,110,328,50
1738240927.0493548,698,556,998,580,348,40,312,96
1738240927.0927112,697,546,1009,680,317,120,330,48
1738240927.1563807,691,553,928,569,316,88,952,269
1738240927.293507,687,549,1004,686,316,110,944,267
1738240927.2968347,687,549,1004,686,316,110,944,267
1738240940.1145363,,,,,1837,526,1401,737
1738240940.1808598,,,,,1838,528,1414,708
1738240940.2577593,,,,,1839,523,1413,704
1738240940.3312585,,,,,1841,515,1418,680
1738240940.3927536,,,,,1840,511,1415,680
1738240940.4441106,,,,,1839,509,1413,680
1738240940.497756,,,,,1838,511,1414,681
1738240940.5555565,,,,,1839,511,1409,678
1738240940.6055365,,,,,1838,508,1410,675
1738240940.657675,,,,,1838,508,1410,674
1738240940.751328,,,,,1836,506,1408,672
1738240940.7985,,,,,1833,505,1404,673
1738240940.964869,,,,,1835,497,1404,668
1738240941.0172608,,,,,1837,502,1409,668
1738240941.0640492,,,,,1837,502,1408,666
1738240941.1512253,,,,,1835,501,1407,665
1738240941.2099802,,,,,1835,502,1410,665
1738240941.269978,,,,,1837,500,1408,662
1738240941.3146658,,,,,1837,500,1409,664
1738240941.3837051,,,,,1838,500,1409,664
1738240941.457642,,,,,1837,498,1409,664
1738240941.5212238,,,,,1836,498,1406,664
1738240941.5849924,,,,,1835,495,1403,664
1738240941.6447964,,,,,1835,498,1404,666
1738240941.6963162,,,,,1834,497,1404,667
1738240941.789171,,,,,1834,497,1403,667
1738240941.9228883,,,,,1835,492,1396,694
1738240941.9730232,,,,,1838,492,1407,664
1738240942.0733156,,,,,1837,498,1407,669
1738240942.1597953,,,,,1835,500,1396,701
1738240942.2114866,,,,,1836,499,1405,672
1738240942.2613263,,,,,1838,495,1410,669
1738240942.3032897,,,,,1839,497,1413,669
1738240942.3710577,,,,,1839,501,1409,672
1738240942.414561,,,,,1839,496,1411,665
1738240942.5105705,,,,,1843,497,1416,666
1738240942.5994651,,,,,1842,500,1418,666
1738240942.68291,,,,,1842,492,1416,661
1738240942.720874,,,,,1841,495,1416,661
