timestamp,chisel_pink_1_x,chisel_pink_1_y,chisel_pink_2_x,chisel_pink_2_y,hammer_yellow_x,hammer_yellow_y,chisel_pink_1_confidence,chisel_pink_2_confidence,hammer_yellow_confidence,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1738061295.9164543,,,,,0,0,,,0,,,,,,
1738061297.072678,,,,,0,0,,,0,,,,,,
1738061298.1842403,,,,,0,0,,,0,,,,,,
1738061298.4352982,,,,,0,0,,,0,,,,,,
1738061298.4820542,,,,,0,0,,,0,,,,,,
1738061298.5282538,,,,,0,0,,,0,,,,,,
1738061298.619645,,,,,0,0,170,165,1,,,,,,
1738061298.651683,,,,,0,0,179,168,1,,,,,,
1738061298.6775913,,,,,0,0,189,172,1,,,,,,
1738061298.7121437,,,,,0,0,201,180,1,,,,,,
1738061298.742741,,,,,0,0,236,195,1,,,,,,
1738061298.7683225,,,,,0,0,255,211,1,,,,,,
1738061298.834225,,,,,0,0,270,225,1,,,,,,
1738061298.8561146,,,,,0,0,285,242,1,,,,,,
1738061298.8894012,,,,,0,0,301,261,1,,,,,,
1738061298.9264636,,,,,0,0,314,275,1,,,,,,
1738061298.9678254,,,,,0,0,328,281,1,,,,,,
1738061299.0158246,,,,,0,0,341,281,1,,,,,,
1738061299.0676208,,,,,0,0,349,280,1,,,,,,
1738061299.1155763,,,,,0,0,356,278,1,,,,,,
1738061299.1677325,,,,,0,0,359,275,1,,,,,,
1738061299.2158263,,,,,0,0,363,270,1,,,,,,
1738061299.2677484,,,,,0,0,364,264,1,,,,,,
1738061299.3155725,,,,,0,0,362,259,1,,,,,,
1738061299.3676636,,,,,0,0,362,254,1,,,,,,
1738061299.4157326,,,,,0,0,361,249,1,,,,,,
1738061299.4676542,,,,,0,0,359,244,1,,,,,,
1738061299.515564,,,,,0,0,358,238,1,,,,,,
1738061299.5677543,,,,,0,0,357,234,1,,,,,,
1738061299.6156728,,,,,0,0,354,230,1,,,,,,
1738061299.667883,,,,,0,0,352,226,1,,,,,,
1738061299.737702,,,,,0,0,348,221,1,,,,,,
1738061299.769339,,,,,0,0,346,216,1,,,,,,
1738061299.8586295,,,,,0,0,342,211,1,,,,,,
1738061299.8845663,,,,,0,0,337,206,1,,,,,,
1738061299.9154162,,,,,0,0,334,203,1,,,,,,
1738061299.969492,,,,,0,0,331,199,1,,,,,,
1738061300.0159721,,,,,0,0,328,198,1,,,,,,
1738061300.067764,,,,,0,0,326,196,1,,,,,,
1738061300.1157131,,,,,0,0,323,193,1,,,,,,
1738061300.1678026,,,,,0,0,320,189,1,,,,,,
1738061300.216136,,,,,0,0,315,186,1,,,,,,
1738061300.268164,,,,,0,0,312,183,1,,,,,,
1738061300.31576,,,,,0,0,308,181,1,,,,,,
1738061300.368072,,,,,0,0,304,180,1,,,,,,
1738061300.4740617,,,,,0,0,300,180,1,,,,,,
1738061300.5130117,,,,,0,0,298,179,1,,,,,,
1738061300.5792027,,,,,0,0,296,179,1,,,,,,
1738061300.629293,,,,,0,0,295,179,1,,,,,,
1738061300.6703207,,,,,0,0,294,182,1,,,,,,
1738061300.692375,,,,,0,0,293,183,1,,,,,,
1738061300.7156682,,,,,0,0,291,184,1,,,,,,
1738061300.767744,,,,,0,0,286,186,1,,,,,,
1738061300.8156853,,,,,0,0,277,187,1,,,,,,
1738061300.8676946,,,,,0,0,270,186,1,,,,,,
